Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
Chuyên Viên Quản Lý và Phát Triển Sản Phẩm App Mbbank (PO Retail) - Khối Ngân Hàng Số (Ho24.292),data scientist,Junior,2,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"Công nghệ thông tin, Tài chính Ngân hàng, Agile, Phát Triển Phần Mềm, Quản Lý Sản Phẩm",Vietnamworks
C / C++ Software Engineer - Relocation Bonus - Salary Up to 2500$ - Hybrid Working,software engineer,Junior,1,LG Electronics Development Vietnam Company Limited,"Vinh, Đà Nẵng",$800.00-2500.00,"C++, C/C++, Software Development, OOP, Design Patterns",Vietnamworks
Cyber Security Analyst/ Consultants,IT professional,Intermediate,3,C.E.O,Hà Nội,Thương lượng,"Cyber Security, Azure, SOC, Cloud, Network Infrastructure",Vietnamworks
Senior JAVA Developer,software developer,Intermediate,4,Techcombank,Hà nội,Thương lượng,"Java, Software Development, DBMS, Git, Api Design",Vietnamworks
DFT Engineer (Hybrid Working),software engineer,Senior,5,Navigos Search,"Hà nội, Hồ Chí Minh",$2040.82-2857.14,"DFT, VLSI, Scan Insertion, English: Intermediate Level, Semiconductor Process",Vietnamworks
Senior Embedded Security Engineer (Joining Bonus),security engineer,Any Level,N/A,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Thương lượng,"Embedded, DevOps, CI/CD, English, Security",Vietnamworks
Data Analyst & Reporting Executive,data analyst,Junior,1,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Thương lượng,"Data analysis, Reporting, Excel VBA, SQL, Ms Power Bi, Power Query",Vietnamworks
CVCC Phân Tích Kinh Doanh (Quản Trị Dữ Liệu Thu Hồi Nợ) – Rcc,data engineer,Intermediate,3,VPBank - Https://tuyendung.vpbank.com.vn/,Hà Nội,Thương lượng,"Databases, SQL, Phân Tích Kinh Doanh, Quản Lý Cở Sở Dữ Liệu, Quản Lý Thu Hồi Nợ",Vietnamworks
IT Business Analyst (Software Detailed Design Engineer),business analyst,Intermediate,3,"Lampart Co., Ltd",Hồ Chí Minh,Thương lượng,"Document Coding, Lập Trình Java, Lập Trình NET, Lập Trình PHP, SQL",Vietnamworks
[Tuyển Gấp] IT Staff,IT professional,Junior,2,"Shindengen Vietnam Co., Ltd",Hồ Chí Minh,Thương lượng,"Lập Trình Phần Mềm, ASP.NET MVC, C#, SQL, English",Vietnamworks
Software Team Leader (Upto $1700),tech lead,Senior,5,Công Ty Cổ Phần Capella Group,Hà Nội,$1700.00,"OOP (Object Oriented Programming), ASP.NET, C#, Entity Framework, .Net",Vietnamworks
Global e-Commerce - Search Operations Quality Assurance,QA engineer,Junior,1,Công Ty TNHH Công Nghệ TikTok Việt Nam,Hồ Chí Minh,Thương lượng,"Good English Skills, Problem-solving, QS Experience, Quality Inspection, Search Engine Algorithms",Vietnamworks
"Software Engineer - Integration Build (C, C++, Python) (Quantity: 03)",software engineer,Any Level,N/A,LG Electronics R&D Vietnam,Hà Nội,Thương lượng,"C++, Java, Embedded Linux, Python, Kotlin",Vietnamworks
Nhân Viên IT,IT professional,Junior,1,Công Ty TNHH Xe Buýt Daewoo Việt Nam,Hồ Chí Minh,Thương lượng,"Bảo Trì Mạng, Xử Lý Sự Cố, Triển Khai Bảo Mật, Quản Lý Máy In, Quản Lý CCTV",Vietnamworks
Senior Software Engineer,software engineer,Intermediate,4,Techcombank,Hà nội,$1200.00-2500.00,"Banking, Data Engineer, Cloud, Java, Python",Vietnamworks
[Dist 9 - HCMC] Middle/Senior Embedded Software Engineer (IoT),software engineer,Intermediate,3,Navigos Search,Hồ Chí Minh,Thương lượng,"C++, Embedded Systems, Linux Kernel, Software Development, Yocto Project",Vietnamworks
Developer/ Programmer,software developer,Junior,2,"Igarment (Vietnam) Co., Ltd.",Hồ Chí Minh,Thương lượng,"Bootstrap, DevOps, Front-End, Python, React.js, React.js",Vietnamworks
2024 K-Unicorn Global Conference - Job Fair: A Challenge for A Greater Future!,data scientist,Any Level,N/A,K-Unicorn Global Conference,Hồ Chí Minh,Thương lượng,"Backend, Job Fair Management, Phát Triển Ứng Dụng Web, Phỏng Vấn Tuyển Dụng",Vietnamworks
Senior Business Analyst,business analyst,Intermediate,3,Công Ty TNHH Airquay Vina,Hồ Chí Minh,Thương lượng,"Operating, Customer Relations",Vietnamworks
Business Analyst Tại Hà Nội (upto 1000$),business analyst,Junior,2,Công Ty Cổ Phần Truyền Thông GAPIT,Hà Nội,$700.00-1000.00,"Giao Tiếp, Làm Việc Nhóm, Phân Tích Dữ Liệu, SQL, Công Nghệ Omni-Channel",Vietnamworks
Nhân Viên Kỹ Thuật IT,IT professional,Junior,1,Công Ty Cổ Phần Đầu Tư Và Công Nghệ OSB (Osb Jsc.),"Hà Nội, Hồ Chí Minh",Thương lượng,"Python, Kỹ Thuật Phần Mềm, Tiếng Anh, Quản Trị Hệ Thống, Giải Pháp Kỹ Thuật",Vietnamworks
Chuyên Viên Phân Tích Nghiệp Vụ Trực Tuyến,data scientist,Intermediate,3,Công Ty Cổ Phần Chứng Khoán SSI,Hà Nội,Thương lượng,"business analyst, Chứng khoán, Công nghệ thông tin, Phân Tích Nghiệp Vụ, Phân Tích Nghiệp Vụ Tài Chính",Vietnamworks
DEV AI,data scientist,Junior,2,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Hà Nội,$1000.00-3000.00,"DevOps, AI",Vietnamworks
.Net Developer,software developer,Any Level,N/A,FPT Software,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Thương lượng,"CI/CD, .NET, C#, SQL, Java",Vietnamworks
Kỹ Sư Lập Trình Nhúng (Có Xe Đưa Đón Nhân Viên Hà Nội - Bắc Ninh),embedded systems engineer,Any Level,N/A,Công Ty Cổ Phần Thiết Bị Đo Điện EMIC,Bắc Ninh,Thương lượng,"Linux, Embedded, Software Technology, Tiếng Anh, IoT",Vietnamworks
Foxconn Bắc Giang Tuyển Gấp Kỹ Sư TE (Test Engineer),software engineer,Any Level,N/A,Công Ty TNHH Công Nghệ Chính Xác Fuyu,Hồ Chí Minh,$500.00-1200.00,"Python, Lập Trình C++, Test, PCBA, Điện tử",Vietnamworks
Business Intelligence Manager,business intelligence analyst,Senior,5,Công Ty Cổ Phần Giải Pháp Thanh Toán Số (MFast),Hồ Chí Minh,Thương lượng,"BI Tools, Business Intelligence, Data Analysis, Data Visualization, SQL",Vietnamworks
Developer - IT Process Automation,software developer,Any Level,N/A,Công Ty TNHH Century Distribution Systems (International) Limited,Hồ Chí Minh,$800.00-1000.00,"Computer Science, EDI, JSON, XML, .NET",Vietnamworks
BD - UX Researcher (Service Design),UX/UI designer,Intermediate,3,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Thương lượng,"Communication, Critical Thinking, Service Design, User Research, Qualitative Data Analysis",Vietnamworks
Middle/Senior Java Developer,software developer,Junior,2,MB AGEAS Life Insurance Company Limited,Hà nội,Thương lượng,"Agile Scrum, Java Spring Framework",Vietnamworks
Data Architect - Khối Dữ Liệu (Ho24.297),IT professional,Senior,5,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"Banking Solution, Cấu trúc dữ liệu, Data Architecture, Data Management, Xây Dựng Giải Pháp",Vietnamworks
Senior Automation Test Leader,QA engineer,Senior,7,Capgemini Vietnam,Hồ Chí Minh,Thương lượng,"Automation Testing, QA, QC, Software Testing, Web Automation Testing",Vietnamworks
Software Test Engineer,software engineer,Any Level,N/A,Vinfast Trading And Production JSC,Hồ Chí Minh,Thương lượng,"Software Testing, Automation Testing, Test, Manual Testing, Software Manual Testing",Vietnamworks
Nhân Viên Phát Triển Sản Phẩm Mới (Ipqc) (Chấp Nhận Sinh Viên Mới Ra Trường),data scientist,Junior,1,Foster Electric (Bac Ninh) Co. Ltd,Bắc Ninh,$367.35-448.98,"Giao Tiếp, Kỹ Thuật, Phát Triển Sản Phẩm, Sáng Tạo, Tiếng Anh",Vietnamworks
Mobile Developer (Flutter/ React Native/ Android/ iOS),mobile developer,Any Level,N/A,Công Ty Cổ Phần Phân Phối Quốc Tế,Hồ Chí Minh,Thương lượng,"React, Flutter, Android, OS System, API",Vietnamworks
Nhân Viên Phòng Kế Hoạch & Marketing Dịch Vụ (R_SPOD2411),business intelligence analyst,Any Level,N/A,Công Ty Ô Tô Toyota Việt Nam,Hồ Chí Minh,$500.00-600.00,"Production Monitoring, KPI Reporting, Data Analysis, Microsoft Office, Access SQL",Vietnamworks
Lập Trình Viên,backend developer,Junior,1,Taixin Printing VINA,Bắc Ninh,$4.08-16.33,"MS SQL, C#, ERP, Phát Triển Phần Mềm, Thiết Kế Phần Mềm",Vietnamworks
"Senior Executive, Digital Business",IT professional,Senior,5,"DKSH Vietnam Co., Ltd.",Hồ Chí Minh,$1224.49-1632.65,"Analytical Thinking, Data Analysis, Microsoft Office, Project Management, Salesforce",Vietnamworks
Chuyên Viên Tích Hợp Hệ Thống,DevOps engineer,Junior,2,Công Ty CP Công Nghệ Bằng Hữu (Amigo),"Hà Nội, Hồ Chí Minh",Thương lượng,"Cloud Solution, System Integrators, Linux, SAN Storage, Cấu Hình Switch",Vietnamworks
Trưởng Phòng IT,IT professional,Intermediate,3,Vifon,Hồ Chí Minh,$1500.00-3500.00,"Project Management, IT System Administration, IT Operations, ERP, Công Nghệ Thông Tin",Vietnamworks
IT Manager (Cyber Security Experienced),IT professional,Intermediate,3,Unigen Vietnam Hanoi Co.Ltd,Hồ Chí Minh,Thương lượng,"ISO 27001, Risk Assessment, Security Infrastructure, Cyber Security, IT Operations",Vietnamworks
Senior IT Business Analyst / Consultant Chinese/ German and English Speaking,business analyst,Senior,5,Bosch Global Software Technologies Company Limited,Hồ Chí Minh,Thương lượng,"Agile Methodologies, Business Analysis, Communication, Data Visualization, MS SQL",Vietnamworks
ERP Application,data scientist,Senior,5,Modelleisenbahn Việt Nam,Bình Dương,Thương lượng,"Supply Chain, Production Planning, ERP Application, XML, ERP",Vietnamworks
Temporary Process Improvement Specialist (8 Months),data scientist,Junior,1,Techcombank,Hà nội,Thương lượng,"Banking, Process Improvement, Quality Control, Six Sigma, Lean",Vietnamworks
Senior IT Implementation Consultant,IT professional,Senior,5,Công Ty Cổ Phần Laidon Việt Nam,Hồ Chí Minh,Thương lượng,"ERP Implementation, Project Management, Agile, Computer Science, Jira",Vietnamworks
Presales Consultant (Security/network),IT professional,Intermediate,3,Công Ty Cổ Phần Đầu Tư Phát Triển Công Nghệ Điện Tử Viễn Thông (Elcom Corp),Hà Nội,Thương lượng,"Công nghệ thông tin, Viễn Thông, Nghiên Cứu Sản Phẩm, Security Management, Thiết Kế Giải Pháp",Vietnamworks
Chuyên Viên Phát Triển Và Vận Hành (Nhóm Dữ Liệu Lớn) – CV2 (Mã: Cmt.bdt.cv2),database administrator,Junior,1,Công Ty Cổ Phần Thanh Toán Quốc Gia Việt Nam,Hà Nội,Thương lượng,"Tài chính Ngân hàng, Big Data, C, Linux, Oracle",Vietnamworks
Fortran Developer (ASAP),software developer,Any Level,N/A,Hitachi Digital Services,Hồ Chí Minh,$1500.00-3500.00,"Công nghệ thông tin, Fortran, IT Phần Mềm, Software Programming, Coding Experience",Vietnamworks
Kỹ Sư Phát Triển Phần Mềm,backend developer,Junior,1,Trường Đại Học CMC,Hà Nội,Thương lượng,"Python, Java, C++, C#, Data Mining",Vietnamworks
Data Platform Engineer - Khối Dữ Liệu (Ho24.317),software engineer,Junior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"Big Data, Data Engineer, Data Lake, Open Source Framework, Spark",Vietnamworks
Phó Phòng/trưởng Phòng IT,IT professional,Senior,7,Công Ty TNHH Jcv Corp,Hồ Chí Minh,$80.61,"MES, ERP, Project Management, Data Processing, SQL",Vietnamworks
IT Information Security,IT professional,Junior,2,Shinhan Vietnam Finance Company Limited,Hồ Chí Minh,Thương lượng,"Security System Management, Security Risk Assessment, IT Governance, SIEM, IT Policy",Vietnamworks
Manager/ Senior Commercial Business Analysts,business analyst,Senior,7,Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Hồ Chí Minh,Thương lượng,"Business Intelligence, Data Analysis, Effective Communication, Financial Evaluation, Microsoft Office",Vietnamworks
Software Security Engineer (Vacancy: 02),security engineer,Any Level,N/A,LG Electronics Development Viet Nam Company Limited,Hà nội,$1000.00-2200.00,"Security, Cybersecurity, Hardening, LINUX",Vietnamworks
Nhân Viên QC Nhà Hàng,data scientist,Junior,1,Công Ty Cổ Phần Tầm Nhìn Quốc Tế Aladdin,Hà Nội,$367.35-530.61,"Kiểm Soát Chất Lượng, Phân Tích Đánh Giá, Quản Lý Quy Trình, Xây Dựng, Dịch Vụ Nhà Hàng",Vietnamworks
CVCC Quản Lý Cấu Trúc Dữ Liệu - Data Structure Management - Khối Dữ Liệu (Ho24.299),data scientist,Junior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"Quản Trị Dữ Liệu, Tài chính Ngân hàng, Xây Dựng Cơ Sở Dữ Liệu, Quản Trị Hệ Thống Thông Tin, TOEIC 500",Vietnamworks
Senior Data Architect,IT professional,Senior,5,HEINEKEN Vietnam,Hồ Chí Minh,Thương lượng,"Python, Data Architecture, DevOps",Vietnamworks
CVCC Phân Tích Quản Trị - Governance Analysis Specialist - Khối Dữ Liệu (Ho24.305),business intelligence analyst,Junior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"SQL, Power BI, Thu Thập Dữ Liệu, Tài chính Ngân hàng, Báo Cáo Quản Trị",Vietnamworks
Business Analyst,business analyst,Intermediate,3,Vinfast Trading And Production JSC,Hà nội,Thương lượng,business analyst,Vietnamworks
Nhân Viên Vận Hành Ứng Dụng,data scientist,Junior,1,Công Ty Cổ Phần Traphaco,Hà Nội,$571.43,"Quản Trị Cơ Sở Dữ Liệu, Manage ERP Software, Dms, E-Office, Triển Khai Dự Án",Vietnamworks
Nhân Viên IT (Staff/senior Staff),IT professional,Junior,2,Hanwha Vision Viet Nam Company Limited (Tên Cũ Là Hanwhatechwin Security Vietnam),Bắc Ninh,$400.00-600.00,"IT Phần Mềm, IT, Server System Management, Vận hành máy chủ, Cấu Hình Tường Lửa",Vietnamworks
Database Engineer (DBA),database administrator,Any Level,N/A,Công Ty TNHH LG CNS Việt Nam,Hà nội,Thương lượng,"DBA, DBMS, AWS, SQL, Cloud",Vietnamworks
Staff DevOps Engineer ( CI/CD),DevOps engineer,Any Level,N/A,"Renesas Design Vietnam Co., Ltd.",Hồ Chí Minh,Thương lượng,"Linux, DevOps, CI/CD, Git",Vietnamworks
Chuyên Viên Nghiệp Vụ,business intelligence analyst,Any Level,N/A,Công Ty Bảo Việt Tràng An,Hà Nội,$408.16-612.24,"Bảo Hiểm Phi Nhân Thọ, Business Analysis, Bảo Hiểm, Báo cáo dữ liệu, Thống Kê",Vietnamworks
Senior Quality Engineer,software engineer,Intermediate,3,Navigos Search,"Hà nội, Hồ Chí Minh",$1000.00-1200.00,"Mechanical Engineering, QAC, AS9100, IATF 16949:2016, Problem-solving",Vietnamworks
"Chuyên Viên Cao Cấp Phát Triển Ứng Dụng (.Net, Java)",backend developer,Any Level,N/A,Ngân Hàng Thương Mại Cổ Phần Thịnh Vượng Và Phát Triển (PGBANK),Hà Nội,$500.00-1500.00,"Java, .Net, Full Stack Development",Vietnamworks
Senior Full Stack Developer (Typescript + React + Node.js),full stack developer,Senior,5,Công Ty TNHH Slasify Vietnam,N/A,$2000.00-5000.00,"TypeScript, React.js, PostgreSQL, Redis",Vietnamworks
Giám Đốc Công Nghệ (CTO) Cho Startup Mới Thành Lập,data scientist,Junior,2,Công Ty TNHH Inpos,Hà Nội,$2000.00-3000.00,"Khoa Học Máy Tính, Fintech, Lãnh Đạo, Phát Triển Sản Phẩm, Quản Lý Rủi Ro",Vietnamworks
Điều Khiển Điện/ Lập Trình PLC (Nhật Bản/HCM),embedded systems engineer,Junior,2,Công Ty TNHH R Techno Việt Nam,Hồ Chí Minh,$2275.00,"Lập Trình PLC, Thiết Kế Máy Gia Công, Thiết Kế Điện, Tiếng Nhật N3, Kỹ Năng Lập Trình Macro",Vietnamworks
Kỹ Sư Vận Hành Hệ Thống Bảo Mật,data scientist,Intermediate,3,"Công Ty Cổ Phần Công Nghệ Thông Tin, Viễn Thông Và Tự Động Hoá Dầu Khí",Hà Nội,$748.30-952.38,"Vận Hành Hệ Thống, Bảo Mật Hệ Thống, Hệ Thống Bảo Mật, Firewall, An Toàn Thông Tin",Vietnamworks
Chuyên Viên Quản Trị Mạng & Hệ Thống,network engineer,Junior,1,Tập Đoàn Hateco,Hà Nội,$600.00-800.00,"Network, Firewall, CCNP, CCNA, Quản Trị Hệ Thống Mạng",Vietnamworks
Trưởng Phòng Phát Triển Sản Phẩm Số,data scientist,Senior,5,Công Ty Cổ Phần Viễn Thông Di Động Đông Dương Telecom,Hà Nội,$1500.00-2500.00,"Marketing Management, Truyền Thông, Marketing Campaign, Phát Triển Sản Phẩm, Digital",Vietnamworks
ERP Specialist,SAP consultant,Junior,1,Be Group Joint Stock Company,Hồ Chí Minh,Thương lượng,"C#, Data Analysis, ERP Systems, Problem-solving, Project Management",Vietnamworks
IT Staff,IT professional,Junior,1,Panasonic Appliances Vietnam,Hồ Chí Minh,Thương lượng,"IT System Administration, IT Phần Mềm, C#, Full Stack Development, Lập Trình Backend",Vietnamworks
"Chuyên Gia Quản Trị Cơ Sở Dữ Liệu, Phòng Mis, Khối TCKT",data scientist,Any Level,N/A,Ngân Hàng TMCP Đại Chúng Việt Nam,Hà Nội,$500.00-1500.00,"Công Nghệ Thông Tin, Tài Chính, Quản Trị Cơ Sở Dữ Liệu",Vietnamworks
Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst),business analyst,Junior,1,Tổ Chức Giáo Dục FPT,Hồ Chí Minh,Thương lượng,"Phân Tích Hệ Thống, ERP, Công Nghệ Thông Tin, Business Analysis, IT Phần Mềm",Vietnamworks
CRM Data and Analytics Leader,data analyst,Intermediate,3,Công Ty Cổ Phần Sữa Vitadairy Việt Nam,"Hồ Chí Minh, Hà Nội",Thương lượng,"CRM Database, Data Analysis, Salesforce, SQL, Python",Vietnamworks
System Manager,system administrator,Senior,6,Vietjet Air,Hồ Chí Minh,Thương lượng,"IT System Administration, Cloud Services, Window Server, LINUX, Virtualization",Vietnamworks
Chuyên Viên Quản Trị Mạng,data scientist,Any Level,N/A,Ngân Hàng TMCP Xuất Nhập Khẩu Việt Nam (Eximbank),Hồ Chí Minh,$1000.00-1500.00,"SLA Control, Công nghệ thông tin, Quản Trị Hệ Thống CNTT",Vietnamworks
Unity Developer,software developer,Junior,1,Công Ty TNHH Thankslab Việt Nam,Hồ Chí Minh,Thương lượng,"OOP, Phát Triển Game, Tiếng Anh, Tiếng Nhật, Phát Triển Unity",Vietnamworks
Chuyên Viên Vận Hành Ứng Dụng Quản Trị - Khối CNTT,database administrator,Junior,2,Ngân hàng Lộc Phát Việt Nam LPBank,Hà nội,Thương lượng,"Công Nghệ Thông Tin, MariaDB, OpenStack, Oracle Database, Quản Trị Máy Chủ",Vietnamworks
Trưởng Nhóm Kiến Trúc Giải Pháp - Khối Công Nghệ Thông Tin,data scientist,Senior,5,Ngân Hàng TMCP Tiên Phong (Tpbank),Hồ Chí Minh,$1000.00-2000.00,"Tiếng Anh, Kiến Trúc Giải Pháp, Internet Banking, Giải Pháp Kỹ Thuật, Quản Lý Kiến Trúc",Vietnamworks
Chuyên Viên Vận Hành Máy Chủ & Nền Tảng - Khối CNTT,data scientist,Intermediate,4,Ngân hàng Lộc Phát Việt Nam LPBank,Hà nội,Thương lượng,"Cấu Hình Lưu Trữ, Công Nghệ Phần Mềm, Công Nghệ Thông Tin, Quản Trị Máy Chủ, Vận Hành Máy Chủ",Vietnamworks
Software Architect (Quantity: 01),software architect,Intermediate,3,LG Electronics R&D Vietnam,Hà Nội,Thương lượng,"English, Java, Automotive, Software Architecture Design, C++",Vietnamworks
SAP Logistic Consultant (Module MM / PP / SD) - Lương Thưởng Hấp Dẫn,SAP consultant,Intermediate,3,Công Ty Cổ Phần Tư Vấn Công Nghệ Ngs (Ngsc),Hà Nội,$1800.00,"Công Nghệ Thông Tin, IT Solutions Delivery, Sap, SAP FICO, Project Management",Vietnamworks
Chuyên Viên Back End,backend developer,Junior,2,Công Ty Cổ Phần Chứng Khoán KB Việt Nam,Hà Nội,$600.00-1500.00,"Lập Trình Backend, Python, RESTful API, SQL, Java Spring Boot",Vietnamworks
CVCC Chính Sách và Chất Lượng Dữ Liệu - Data Policy and Quality Senior Specialist - Khối Dữ Liệu (Ho24.298),IT professional,Junior,1,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Hà nội,Thương lượng,"Bảo Mật Dữ Liệu, Phân Tích Dữ Liệu, Quản Trị Dữ Liệu, Tài chính Ngân hàng, Xây Dựng Cơ Sở Dữ Liệu",Vietnamworks
"Chuyên Viên Công Nghệ Thông Tin (Quản Lý Phần Mềm, Ứng Dụng)",data engineer,Intermediate,3,Bitexco Power Corporation,Hà nội,Thương lượng,"Công Nghệ Thông Tin, NodeJS, Quản Lý Phần Mềm, SQL Server, SQL Server",Vietnamworks
IT Qc/tester (Temporary 8 Months),QA engineer,Junior,1,Công Ty TNHH Bảo Hiểm Nhân Thọ Generali Việt Nam,Hồ Chí Minh,Thương lượng,"Analytical Skills, Communication Skills, Manual Testing, Quality Control",Vietnamworks
