Job Title,Role,Level,Company,Years of Experience,Location,Salary Range,Required Skills,Source Platform
SAP GR Senior Consultant (AMS Project),SAP Consultant,Senior,Deloitte Consulting SEA,4,Hồ Chí Minh,Thương lượng,"SAP S/4HANA, ERP System, Analytical Thinking, SAP ECC 6.0, Agile",Vietnamworks
Senior Automation Test Leader,QA Engineer,Senior/Lead/Expert,Capgemini Vietnam,7,Hồ Chí Minh,Thương lượng,"Automation Testing, QA, QC, Software Testing, Web Automation Testing",Vietnamworks
Automation Engineer,software engineer,Any Level,Công Ty TNHH LEGO Manufacturing Việt Nam,N/A,N/A,Thương lượng,"PLC, Automation, Lập Trình Rockwell, Manufacturing Engineering, Maintenance",Vietnamworks
SAP S/4Hana Consultant,SAP Consultant,Junior,Chi Nhánh Công Ty TNHH KPMG,1,Hồ Chí Minh,Thương lượng,"Business Process Management, Client Relationship, SAP, Time Management, Sap Module Development",Vietnamworks
"[ Hưng Yên ] - Trưởng nhóm Quản lý chất lượng nhà cung cấp - Nghỉ tất cả thứ 7, CN",Data Scientist,Intermediate,Mektec Manufacturing Corporation (Vietnam) Ltd.,3,Hưng Yên,$700.00-1000.00,"8D method, ISO 9001, QC Report, QC Tools, Supplier Audit",Vietnamworks
Kỹ Sư IT,IT professional,Junior,Công Ty TNHH Dịch Vụ Sản Xuất Thiết Bị Aureole,2,"Biên Hòa, Đồng Nai",Thương lượng,"Quản Lý Cở Sở Dữ Liệu, Tiếng Nhật, UiPath, An Toàn Thông Tin, Backup",Vietnamworks
Foxconn Tuyển Gấp Kỹ Sư Phát Triển Phần Mềm Hệ Thống,Backend Developer,Any Level,Công Ty TNHH Công Nghệ Chính Xác Fuyu,N/A,Hồ Chí Minh,$500.00-1000.00,"Lập Trình Backend, API, Systems Development, Database Development, English",Vietnamworks
Business System Analyst,Systems Analyst,Junior,BIDV Metlife Life Insurance LLC,2,Hà Nội,Thương lượng,"Information Analysis, Business Administration, Computer Science, Customer Service, System Testing",Vietnamworks
LUXSHARE ICT TUYỂN GẤP KỸ SƯ TE,UX/UI Designer,Intermediate,CÔNG TY TNHH LUXSHARE - ICT (VÂN TRUNG),3,Hồ Chí Minh,$500.00-2000.00,"Công Nghệ Thông Tin, Kinh nghiệm làm việc, Tiếng Anh, Tiếng Trung, Điện Tử",Vietnamworks
Chuyên Viên Thiết Kế UI/UX (Có Thể Nhận Việc Sau Tết),UX/UI Designer,Senior,Công Ty Chứng Khoán Yuanta Việt Nam,5,Hồ Chí Minh,$500.00-1500.00,"Thiết Kế UI-UX, Figma, Sketching, Adobe XD, UX Design",Vietnamworks
HR Data Analytics Manager,Data Analyst,Lead/Expert,Prudential Vietnam Assurance,2,Hồ Chí Minh,Thương lượng,"Analytical Thinking, Data Analysis, Excellent communication, HRIS System, Stakeholder Management",Vietnamworks
Excellent Management Trainee,Data Scientist,Any Level,Công Ty TNHH Công Nghệ Huawei Việt Nam,N/A,Hà Nội,Thương lượng,"Electrical Engineering, English, Power System Planning, Computer Science, Software Engineering",Vietnamworks
Digitalization Executive (Administrative),IT professional,Any Level,Kinderworld International Group (Singapore International School),N/A,Hà Nội,Thương lượng,"ERP, English, HR Digitalization, Communication, HR Administration",Vietnamworks
Senior Frontend Developer (React),Frontend Developer,Senior,CÔNG TY TNHH SLASIFY VIETNAM,N/A,N/A,$2000.00-4000.00,"React, Typescript, Unit Testing, Git, Front End",Vietnamworks
(102 HCM) Kỹ Sư Phát Triển Ứng Dụng (Vb.Net),Backend Developer,Junior,Công Ty TNHH R Techno Việt Nam,1,Hồ Chí Minh,$800.00-1200.00,"Application Development, Collaboration, Software Development, VB.NET, Visual Studio",Vietnamworks
QC Inspector (Apparel/Accessories),Data Scientist,Intermediate,Navigos Search's Client,3,Hà Nội,$700.00-900.00,"Analytical Skills, Communication, Leadership, Problem-solving, Quality Control",Vietnamworks
Web Developer,Software Developer,Junior,Pageworth Limited Company,1,Hồ Chí Minh,$500.00-1500.00,"MySQL, Node.js, .NET, C#, PHP",Vietnamworks
Java Web Developer - Thu Nhập Upto $2000,Software Developer,Any Level,Công Ty TNHH Jungdo Uit,N/A,Hà Nội,$2000.00,"Java, Spring Boot, Hibernate, Restful Apis, GIS programming",Vietnamworks
Senior IT Engineer (Cyber Security Experienced),software engineer,Senior,Unigen Vietnam Hanoi Co.Ltd,3,Hồ Chí Minh,Thương lượng,"ISO 27001, Risk Assessment, Security Infrastructure, Cyber Security, IT Operations",Vietnamworks
IT Helpdesk Engineer,IT Support,Junior,Emasi Group of Bilingual International Schools,2,Hồ Chí Minh,Thương lượng,"IT Helpdesk, IT Support, Helpdesk Management, Equipment Maintenance, CCNA",Vietnamworks
Angular Expert,Frontend Developer,Lead/Expert,Navigos Search's Client,5,Hà Nội,$3000.00-3500.00,"Angular, Angular, Angular, CSS, HTML, JavaScript, Typescript",Vietnamworks
IT Manager - In Charge of Application System ( Ha Noi ),IT professional,Lead/Expert,"INOUE Rubber Vietnam CO., LTD.",3,Hà Nội,Thương lượng,"Application Programming, Database Technology, IT Project Management, ERP Application, Systems Administration",Vietnamworks
R&D Engineer (Software),software engineer,Any Level,Panasonic Appliances Vietnam,N/A,Hồ Chí Minh,Thương lượng,"C Programming Language, Software Development, Embedded Software, Electronic, Computer Science",Vietnamworks
"Senior Product Manager/ Product Director (AI Products, SME)",Product Manager,Senior/Lead/Expert,Công Ty Cổ Phần VinBigdata – Công Nghệ Việt Vì Tương Lai Việt,5,Hà Nội,Thương lượng,"Kỹ năng giao tiếp, Kỹ năng giao tiếp, Kỹ năng đàm phán, Lãnh Đạo, Phân Tích Thị Trường, Thuyết Trình",Vietnamworks
Trưởng Nhóm Phát Triển,Backend Developer,Senior,Taixin Printing Vina,5,Bắc Ninh,$1000.00-2500.00,"MS SQL, DevExpress, C#, DevExpress, DevExpress, DevExpress, DevExpress",Vietnamworks
"[Fresher] Implementation Specialist (Good English, Fulltime Night Shift)",SAP Consultant,Fresher,"Truecommerce Vietnam Company, Limited",N/A,Hồ Chí Minh,Thương lượng,"business analyst, Project Management, ERP System  Implementation, Customer Support",Vietnamworks
SOC Pre-Silicon Verification Engineer,software engineer,Junior,Intel Products Vietnam,2,Hồ Chí Minh,Thương lượng,"RTL Verification, System Verilog, Formal Verification, UVM, Functional Verification",Vietnamworks
Fullstack Lead Developer,Full-stack Developer,Lead/Expert,"Japan Awaits Co., Ltd.",7,N/A,$2300.00-2700.00,"English, ERP Migration, Frameworks Frontend, UI/UX, Modern Php Frameworks",Vietnamworks
Consultant - Application Management Services - SAP Successfactors,SAP Consultant,Junior,Deloitte Consulting SEA,1,Hồ Chí Minh,Thương lượng,"SAP Implementation, ERP Support, Agile Development, Analytical Thinking, Business analysis",Vietnamworks
[Hưng Yên] Manual QC Engineer (Tester),QA Engineer,Junior,Thanh Nguyễn - QC Account,1,N/A,$204.08-265.31,"Analytical thinking, Software Testing, Technical Document Writing, Test Case Writing",Vietnamworks
IT/ CS Full-Time Lecturers (Master Degree or Higher Required),UX/UI Designer,Any Level,Swinburne Vietnam (HCMC),N/A,Hồ Chí Minh,$1000.00-2000.00,"Phần Cứng Mạng, Khoa Học Máy Tính, IT Administration, Giáo Dục, Công Nghệ Thông Tin",Vietnamworks
Kỹ Sư Phát Triển Phần Mềm Java,Backend Developer,Junior,Nagakawa Group,2,Hà Nội,$800.00-1000.00,"Java, .NET, C++, IT Phần Mềm, Java Spring Boot",Vietnamworks
Lab Manager (Footwear),Data Analyst,Lead/Expert,Navigos Search's Client,5,Hà Nội,$2000.00-3000.00,"Communication Skills, Data Analysis, Footwear Testing, Managerial Experience, Microsoft Office",Vietnamworks
UIUX Designer,UX/UI Designer,Intermediate,Navigos Search's Client,3,Hà Nội,Thương lượng,"Software Prototyping, User Experience Development, User Research, Visual Design, Workshop Design",Vietnamworks
IT Business Partner Khối Cung Ứng,IT professional,Any Level,Công Ty Cổ Phẩn Masan Meatlife,N/A,Hồ Chí Minh,Thương lượng,"IT Operations, IT Phần Mềm, ERP System, ERP Support",Vietnamworks
Information System & Database Specialist,Business Analyst,Lead/Expert,Mekong River Commission Secretariat,10,Hồ Chí Minh,Thương lượng,"Information System, Computer Science, Information Technology, System Management, Relational Database Design",Vietnamworks
Nhân Viên Phân Tích Kinh Doanh và Chuyển Đổi Số,Data Scientist,Any Level,Công Ty Cổ Phần Thép Hòa Phát Dung Quất,N/A,Hồ Chí Minh,$500.00-1500.00,"Tiếng Anh, Phân Tích Kinh Doanh, Quản Trị Hệ Thống Thông Tin, Báo Cáo Phân Tích Thị Trường, Phân Tích Hành Vi",Vietnamworks
Chuyên Gia An Ninh Thông Tin – Hà Nội – RM,Data Scientist,Senior,VPBank - Https://tuyendung.vpbank.com.vn/,7,Hà Nội,Thương lượng,"An Ninh Mạng, An Toàn Thông Tin, Bảo Mật Thông Tin, Công nghệ thông tin",Vietnamworks
Senior IT Business Analyst / Consultant Chinese/ German and English Speaking,Business Analyst,Senior,Bosch Global Software Technologies Company Limited,5,Hồ Chí Minh,Thương lượng,"Agile Methodologies, Business Analysis, Communication, Data Visualization, MS SQL",Vietnamworks
Senior Data Analyst,Data Analyst,Senior,Trusting Social,5,Hồ Chí Minh,Thương lượng,"Data Analysis, SQL, Python, Data Management, Business Analysis",Vietnamworks
4G/5G RAN Engineer,software engineer,Any Level,Công Ty TNHH Công Nghệ Huawei Việt Nam,N/A,Hà Nội,Thương lượng,"Wireless Network, Telecommunications, Computer Science, RAN System, OS System",Vietnamworks
(Senior) Solution Architect,Solutions Architect,Senior,Navigos Search's Client,7,Hà Nội,$3000.00-3500.00,"English Communication, Java Programming, Java Programming, Software Architecture Design, System Integration, Technical Design",Vietnamworks
[Dist. 2] IT Coordinator (Identity & Access Management),IT professional,Junior,Navigos Search,2,Hồ Chí Minh,$1020.41-1346.94,"Access Control Management, Active Directory, Active Directory, Active Directory, Active Directory, Analytical Skills, Communication Skills, Microsoft Exchange Server",Vietnamworks
Chuyên Viên Vận Hành Ứng Dụng Quản Trị - Khối CNTT,Database Administrator,Junior,Ngân hàng Lộc Phát Việt Nam LPBank,2,Hà Nội,Thương lượng,"Công Nghệ Thông Tin, MariaDB, OpenStack, Oracle Database, Quản Trị Máy Chủ",Vietnamworks
Database Developer,Software Developer,Senior,Công Ty TNHH ActsOne Việt Nam,5,Hồ Chí Minh,Thương lượng,"Database Technology, Mysql, MongoDB, Lập Trình, Sql Queries",Vietnamworks
Solution Architect,Solutions Architect,Intermediate,SmartOSC,3,Hà Nội,$3000.00-5000.00,"Banking System, Cloud Solution, Java Se, Microservices Architecture, Software Architecture Design",Vietnamworks
MIS Engineer - Kỹ Sư Công Nghệ Thông Tin (Work in Phu Yen),software engineer,Intermediate,CCIPY Vietnam,3,Hồ Chí Minh,Thương lượng,"Wireless Network, ADSL, LAN, Cài Đặt Phần Mềm, Bảo Trì",Vietnamworks
Network Intern - Data Center,Data Scientist,Intern/Entry-level,VNG Corporation,N/A,Hồ Chí Minh,Thương lượng,"Network, Viễn Thông, Data Center Operation, Technology Integration, communication",Vietnamworks
Nhân Viên Phòng Công Nghệ Thông Tin,Data Scientist,Any Level,Công Ty TNHH FUJIFILM Manufacturing Hải Phòng,N/A,Hải Phòng,Thương lượng,"Công Nghệ Thông Tin, TOEIC 500, Japanese N4, Hạ Tầng Mạng, IT Infrastructure Operations",Vietnamworks
Java Developer - Salary Up to $2000,Software Developer,Intermediate,FPT Software,3,"Hồ Chí Minh, Hà Nội, Đà Nẵng",$2000.00,"Java, Software Development, Spring Framework, Oracle, Git",Vietnamworks
[ Hot Job ] Kỹ Sư Thiết Kế Giải Pháp (18-25 Triệu/tháng),DevOps Engineer,Junior,Công Ty Cổ Phần HTC Viễn Thông Quốc Tế,2,Hà Nội,Thương lượng,"Admin, Phân Tích Số Liệu, Azure, Google Cloud, Amazon Web Service",Vietnamworks
Senior Operations Performance Management Specialist,Frontend Developer,Senior,FE CREDIT,1,Hồ Chí Minh,Thương lượng,"Customer Experiences, Customer Journey Map, UI - UX, UI/UX Design, System Operation",Vietnamworks
Senior Electronic Hardware Design Engineer,software engineer,Senior,Công Ty TNHH Giải Pháp Số Tekbox Việt Nam,5,Hồ Chí Minh,Thương lượng,"Electronic Embedded System Design, ESS Tools, CAE Tools, Measuring Equipment, English Fluency",Vietnamworks
Graduate Analyst Program - Oracle (Supply Chain Management) - Feb 2025 Intake,Data Scientist,Any Level,Deloitte Consulting SEA,N/A,Hồ Chí Minh,Thương lượng,"Supply Chain Management, Logistics, Information Technology, Consulting, Oracle",Vietnamworks
Staff for IT Planning Department,IT professional,Any Level,"Mizuho Bank, Ltd. - HCMC Branch",N/A,Hồ Chí Minh,Thương lượng,"English, Software Management, Communication, Teamwork, Project Managements",Vietnamworks
Release Train Engineer,software engineer,Senior,Capgemini Vietnam,8,Hồ Chí Minh,Thương lượng,"Agile Project Management, Scrum Master, Stakeholder Management, Project Management, Lifecycle Management",Vietnamworks
"Automation QC, Lead",QA Engineer,Lead/Expert,AIA Vietnam (Great Place To Work® Certified),5,Hồ Chí Minh,Thương lượng,"API Testing, Automation Testing, Performance Test, Problem-solving, Selenium",Vietnamworks
Mobile Game Research Assistant (Contractor),Mobile Developer,Junior,Athena Studio,1,Hồ Chí Minh,Thương lượng,"Mobile Game Development, Data Entry, Competitor Analysis, Market Research, Game Research",Vietnamworks
"Project Manager (Japanese, Offer to $3500)",Project Manager,Lead/Expert,Raksul Vietnam Co.ltd,N/A,Hồ Chí Minh,$2500.00-3500.00,"Japanese Speaking, Project Management, Management, English, Japanese",Vietnamworks
Kỹ Sư Phần Mềm,Frontend Developer,Junior,Công Ty TNHH Canon Việt Nam,1,Hà Nội,Thương lượng,"HTML5, CSS3, SASS/SCSS, Typscript, JavaScript ES4",Vietnamworks
[Hồ Chí Minh] Chuyên viên Quản trị phần mềm (dự án Chuyển đổi số),System Administrator,Intermediate,Navigos Search's Client,3,Hà Nội,$1000.00-1400.00,"MCSA, MCSE, Quản Trị Hệ Thống, Quản Trị Hệ Thống Mạng, VMware",Vietnamworks
Data Engineer,Data Engineer,Intermediate,Công Ty TNHH Công Nghệ Và Giải Pháp Phần Mềm Crossian,3,Hà Nội,Thương lượng,"Human Resources, Nhân Sự, Talent Recruitment, Tuyển Dụng, Tuyển Dụng Nhân Sự",Vietnamworks
Chuyên Viên Vận Hành Hệ Thống - System Administrator - Khối Công Nghệ Thông Tin (HO24.366),System Administrator,Junior,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,1,Hà Nội,Thương lượng,"Ansible, Core Banking, Linux, System Administration, Grafana",Vietnamworks
Nhân Viên IT (ERP System),IT professional,Junior,TKG Taekwang VINA,1,Hồ Chí Minh,$400.00-700.00,"IT Software, IT, IT Operations",Vietnamworks
Giám Sát Công Nghệ Thông Tin,System Administrator,Junior,Công Ty Cổ Phần Tập Đoàn Đầu Tư Khôi Nguyên,2,Hồ Chí Minh,Thương lượng,"Giám Sát Hệ Thống Mạng, Hệ Thống Active Directory, Quản Trị Hạ Tầng CNTT, Windows Server",Vietnamworks
"Senior Consultant, SALESFORCE (CRM)",Data Scientist,Senior,Chi Nhánh Công Ty TNHH KPMG,5,Hồ Chí Minh,Thương lượng,"Analytical Thinking, Business Process Design, Project Management, Salesforce, Solution Design",Vietnamworks
Kỹ Sư Phần Mềm Ứng Dụng Desktop,Backend Developer,Junior,Công Ty Cổ Phần Đầu Tư Và Công Nghệ OSB (Osb Jsc.),1,"Hà Nội, Hồ Chí Minh",Thương lượng,"C++, C#, Python, Kỹ Thuật Phần Mềm, Tiếng Anh",Vietnamworks
Chuyên Viên Tối Ưu Vận Hành Ngành TMĐT Quốc Tế Amazon Thu Nhập 15-20Tr,Data Scientist,Junior,Công Ty TNHH Equarus Decor,1,Hà Nội,$612.24-816.33,"ERP, Odoo, E Commerce, Quản Lý Hiệu Suất, Quản Lý Cở Sở Dữ Liệu",Vietnamworks
Software Engineering Product Quality (Sw-Epq),Software Engineer,Intermediate,Bosch Global Software Technologies Company Limited,3,Hồ Chí Minh,Thương lượng,"Analytical Skills, Communication Skills, Problem-solving, Quality Management System, Software Engineering",Vietnamworks
C# Lead Software Engineer (Remote),Software Engineer,Lead/Expert,Navigos Search's Client,5,"Hà Nội, Hồ Chí Minh",$2000.00-3500.00,"C#, WPF, Revit, OOP, Logical Thinking",Vietnamworks
Trưởng Phòng IT,IT professional,Intermediate,Vifon,3,Hồ Chí Minh,$1500.00-3500.00,"Project Management, IT System Administration, IT Operations, ERP, Công Nghệ Thông Tin",Vietnamworks
"Software Engineer - Integration Build (C, C++, Python) (Quantity: 03)",Software Engineer,Any Level,LG Electronics R&D Vietnam,N/A,Hà Nội,$2200.00,"C++, Java, Embedded Linux, Python, Kotlin",Vietnamworks
"Java Developer (Spring, OOP)",Software Developer,Any Level,Techcom Securities (Tcbs),N/A,Hà Nội,$1000.00-2500.00,"Tài Chính Ngân Hàng, Java, Spring, OOP, Oracle",Vietnamworks
Graphic Designer,Data Scientist,Junior,Vacons Architects (Interior Design & Build),1,Hồ Chí Minh,$408.16-612.24,"Illustrator, Illustrator, Photoshop, Premiere, Premiere, Premiere, Quay Dựng Video, Thiết Kế 2D",Vietnamworks
RF Engineer,software engineer,Junior,Công Ty TNHH Công Nghệ Huawei Việt Nam,2,Hà Nội,Thương lượng,"Database Technology, Effective Communication, Radio Design, Software System Architecture, Telecommunications",Vietnamworks
Data Governance,Data Engineer,Any Level,Ban Vien Company,N/A,Hồ Chí Minh,Thương lượng,"ISO 27001, Data Governance Principles, Data protection regulations, Security Tools And Frameworks, Analytical Skills",Vietnamworks
Analyst - IT Advisory - December 2024 Intake - VN,IT professional,Any Level,Deloitte Consulting SEA,N/A,Hà Nội,Thương lượng,"SQL, Oracle, System Analysis, ETL, System Design",Vietnamworks
Product Owner (Domain Collection),Product Manager,Senior,Công Ty Cổ Phần Kinh Doanh F88,5,Hà Nội,$900.00-1500.00,"Công Nghệ Thông Tin, Quản Lý Sản Phẩm, Agile, Scrum, Phát Triển Sản Phẩm",Vietnamworks
Senior Fullstack Developer (Reactjs Base),Full-stack Developer,Senior,Capgemini Vietnam,5,Hồ Chí Minh,Thương lượng,"JavaScript ES6, AWS, Software Development, TypeScript, ReactJs",Vietnamworks
Trợ Lý Phó Tổng Giám Đốc (Mảng CNTT),Business Intelligence Analyst,Any Level,Tập Đoàn Tân Á Đại Thành,N/A,Hà Nội,Thương lượng,"Trợ Lý, Công Nghệ Thông Tin, Agile, MS Power BI, Business Analysis",Vietnamworks
Product Owner - Generative AI for Enterprise Customer Operations,Product Manager,Senior,Trusting Social,5,Hồ Chí Minh,$2000.00-3000.00,"product owner, Product Development, business analyst, Product Management",Vietnamworks
[ HO ] ATM Network And Operations Management,Data Scientist,Junior,Shinhan Bank Vietnam,1,Hồ Chí Minh,Thương lượng,"Banking, Economics, Finance, Teamwork, Atm Operation Management",Vietnamworks
IT Audit Manager IT General Control (Itgc),IT professional,Lead/Expert,"BDO Consulting Vietnam Co., Ltd.",4,Hồ Chí Minh,Thương lượng,"General Control, Cybersecurity, Risk Management, Business Continuity, Team Work",Vietnamworks
IT Associate Manager,IT professional,Lead/Expert,Carlsberg Vietnam,5,Hồ Chí Minh,$1800.00-2500.00,"English Fluency, Financial Accounting, Programming Technology, Project Management, SQL Server, SQL Server",Vietnamworks
Programmer-Analyst .Net / Full Stack .Net Developer,Full-stack Developer,Senior,LR-TEK,5,Hồ Chí Minh,$1000.00-2000.00,"Agile Methodologies, Bilingual In French And English, Microsoft Azure, SQL Server, SQL Server, Website Development",Vietnamworks
Chuyên Gia Bảo Mật (Security Expert),IT professional,Lead/Expert,FPT Telecom,5,Hà Nội,Thương lượng,"An Toàn Thông Tin, Bảo Mật Thông Tin, Xử Lý Sự Cố, Đánh Giá Bảo Mật",Vietnamworks
Fresh Speed Up 2025 | Staff - IT,IT professional,Any Level,B.Braun Vietnam Company Ltd.,N/A,Hồ Chí Minh,Thương lượng,"Công nghệ thông tin, Khoa Học Máy Tính, Tiếng Anh thành thạo",Vietnamworks
"Back-end Developer (Java, SQL, Spring, English)",Backend Developer,Junior,Công Ty TNHH Clever Creations Tech,1,Hồ Chí Minh,$500.00-1500.00,"Java, SQL, Chinese Madarin, Spring Framework, Lập Trình Web",Vietnamworks
