Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Source Platform
IT Governance Manager,IT professional,Intermediate,3-5,CÔNG TY TNHH THỜI TRANG VÀ MỸ PHẨM ÂU CHÂU,Hồ Chí Minh,Thương lượng,Analysis,Careerviet
Data Engineering,data engineer,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Python, Java, SQL, AWS, PostgreSQL, MySQL, Spark, NoSQL, Agile, Scrum, R",Careerviet
Chuyên viên Cao cấp Kiểm soát chất lượng (QA) - TA160,backend developer,Senior,3-7,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà NộiHồ Chí Minh,Thương lượng,"SOAP, Agile",Careerviet
Chuyên viên Vận hành ứng dụng hạ tầng doanh nghiệp,N/A,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,,Careerviet
Project Manager,project manager,Intermediate,3,Công ty Cổ phần Công nghệ Blue Ocean,Hồ Chí Minh,$33.00,Excel,Careerviet
Data Governance,data engineer,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Python, SQL, AWS, PostgreSQL, MySQL, NoSQL, Agile, Scrum, R",Careerviet
Senior Data Analysis & Data Science,data scientist,Intermediate,3-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Python, SQL, Power BI, MongoDB, AWS, PostgreSQL, MySQL, Machine Learning, NoSQL, Agile, Scrum, SAP",Careerviet
Trưởng phòng Thiết kế Điện tử (Hardware & Firmware Design Manager),N/A,Senior,3-10,Tập Đoàn Karofi Holding,Hưng YênHà Nội,Thương lượng,,Careerviet
Quality Assurance - Khối Công nghệ thông tin - Khối Công nghệ thông tin (HO24.203),QA engineer,Junior,1,Ngân Hàng TMCP Quân Đội,Hà Nội,Thương lượng,,Careerviet
"CV/CVCC PHÁT TRIỂN HỆ THỐNG TÍCH HỢP, THANH TOÁN",backend developer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, MongoDB, Docker, AWS, Spring, PostgreSQL, MySQL, Git, GitHub, NoSQL, Agile, Scrum, Kafka, Apache",Careerviet
"CV/CVCC PHÁT TRIỂN HỆ THỐNG TÍCH HỢP, THANH TOÁN",backend developer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, MongoDB, Docker, AWS, Spring, PostgreSQL, MySQL, Git, GitHub, NoSQL, Agile, Scrum, Kafka, Apache",Careerviet
T24 CORE BANKING DEVOPS ENGINEER,DevOps engineer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, Docker, AWS, Spring, PostgreSQL, MySQL, Git, GitHub, Ansible, Linux, Agile, Scrum, Kafka, Apache",Careerviet
Senior Finance Management System Development,data engineer,Intermediate,3-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"SQL, AWS, PostgreSQL, MySQL, Spark, Agile, Scrum, SAP, ERP, ETL",Careerviet
Cloud Engineering & DevSecOps,cloud engineer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, Docker, Kubernetes, AWS, Azure, GCP, Jenkins, CI/CD, Ansible, Agile, Scrum",Careerviet
Chuyên viên/Chuyên viên cao Phát triển phần mềm số hóa quy trình nghiệp vụ - K.CNTT,data scientist,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"AWS, Agile, Scrum",Careerviet
Giám đốc khối Công nghệ thông tin,data engineer,Senior,5,NHÀ SÁCH TIẾN THỌ,Hà Nội,$40.00,Big Data,Careerviet
IT Project Management Officer,IT professional,Intermediate,3,CÔNG TY CỔ PHẦN TẬP ĐOÀN GELEX,Hà Nội,Thương lượng,Analysis,Careerviet
Project Coordinator,N/A,Junior,1-2,Công Ty TNHH Dự Án Hồ Tràm,Bà Rịa - Vũng Tàu,Thương lượng,,Careerviet
Cloud Engineering & DevSecOps,cloud engineer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, Docker, Kubernetes, AWS, Azure, GCP, Jenkins, CI/CD, Ansible, Agile, Scrum",Careerviet
Data Analysis & Data Science,data scientist,Intermediate,1-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Python, SQL, Power BI, MongoDB, AWS, PostgreSQL, MySQL, NoSQL, Agile, Scrum, SAP, R",Careerviet
Senior Data Engineering,data engineer,Intermediate,3-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Python, Java, SQL, AWS, PostgreSQL, MySQL, Spark, NoSQL, Agile, Scrum, ETL, R",Careerviet
T24 CORE BANKING DEVOPS ENGINEER,DevOps engineer,Intermediate,2-5,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Thương lượng,"Java, Docker, AWS, Spring, PostgreSQL, MySQL, Git, GitHub, Ansible, Linux, Agile, Scrum, Kafka, Apache",Careerviet
Kỹ sư phát triển phần mềm (MES & IOT),data scientist,Junior,1,EuP Group,Hà Nội,$12.00,Python,Careerviet
Kỹ sư phát triển phần mềm (ERP & MES),data scientist,Junior,1,EuP Group,Hà Nội,$12.00,"Python, ERP",Careerviet
Chuyên gia/Trưởng nhóm phát triển sản phẩm và Kinh doanh Tài chính số,data analyst,Senior,5-8,Ngân Hàng TMCP Tiên Phong (TPBank),Hồ Chí Minh,Thương lượng,Excel,Careerviet
