Job Title,Role,Level,Years of Experience,Company,Location,Salary Range,Required Skills,Job URL,Source Platform
Nhân Viên Kinh Doanh Website Và Phần Mềm,,Nhân viên,Không yêu cầu kinh nghiệm,CÔNG TY CỔ PHẦN THÔNG TIN THƯƠNG HIỆU,Hà Nội,6 - 30 triệu,"kỹ năng thuyết trình, Kỹ Năng Giao Tiếp Và Đàm Phán, Kỹ Năng Tìm Kiếm Khách Hàng Tiềm Năng (lead Generation), Kỹ Năng Lập Kế Hoạch Và Quản Lý Thời Gian, Hiểu Biết Về Website Và Phần Mềm",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-website-va-phan-mem/1569622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Digital Marketing,,Nhân viên,1 năm,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ PHÚC NAM,Hà Nội,10 - 16 triệu,N/A,https://www.topcv.vn/viec-lam/digital-marketing/882861.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Lead Marketing Game,,Trưởng nhóm,3 năm,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ PHÚC NAM,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/lead-marketing-game/1252666.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Trưởng Phòng Công Nghệ Thông Tin,,Trưởng/Phó phòng,2 năm,CÔNG TY CỔ PHẦN DU LỊCH HOA LƯ,Ninh Bình,Thoả thuận,"Quản Lý Nhân Sự, Quản Lý Dự Án, Khắc Phục Sự Cố Hệ Thống, Kiến Thức Về Bảo Mật Thông Tin, Kiến Thức Về Hệ Thống Mạng",https://www.topcv.vn/viec-lam/truong-phong-cong-nghe-thong-tin/1569200.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
"Nhân Viên Kinh Doanh Vps, Cloud Server",,Nhân viên,1 năm,Công ty TNHH AVIC Việt Nam,Hà Nội,Thoả thuận,"Kỹ Năng Giao Tiếp Và Đàm Phán, Kỹ Năng Xây Dựng Mối Quan Hệ Với Khách Hàng, Kinh Nghiệm Bán Hàng Vps Cloud Server, Hiểu Biết Về Công Nghệ Đám Mây (cloud Computing), Hiểu Biết Về Các Sản Phẩm Vps Cloud Server",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-vps-cloud-server/1569462.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Kỹ Thuật Server,,Nhân viên,1 năm,Công ty TNHH AVIC Việt Nam,Hà Nội,Thoả thuận,"Kiến Thức Về Mạng Máy Tính (tcp Ip, Routing, Switching), Khắc Phục Sự Cố Hệ Thống, Quản Trị Hệ Thống Linux Windows Server, Quản Lý Cơ Sở Dữ Liệu (sql, Mysql, Nosql), Cài Đặt Và Cấu Hình Server",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-server/1569471.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
CTV Comtor Tiếng Hàn/ Tiếng Nhật,,Nhân viên,2 năm,Công ty TNHH CMC GLOBAL,Hà Nội,Thoả thuận,"khả năng làm việc độc lập và theo nhóm, Kỹ Năng Tìm Kiếm Thông Tin, Thành Thạo Tiếng Hàn Nhật (ngữ Pháp, Từ Vựng, Nghe, Nói, Đọc, Viết), Kỹ Năng Dịch Thuật (từ Tiếng Mẹ Đẻ Sang Tiếng Hàn Nhật Và Ngược Lại), Kỹ Năng Biên Tập Chỉnh Sửa Văn Bản",https://www.topcv.vn/viec-lam/ctv-comtor-tieng-han-tieng-nhat/1569269.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Mua Sắm Opex,"Pro

Công ty cổ phần Hạ tầng Viễn thông CMC Telecom",Nhân viên,2 năm,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,Hà Nội,20 - 30 triệu,"Đàm phán, Phân tích dữ liệu, Quản Lý Hợp Đồng, Quản Lý Chi Phí, Kỹ năng thương lượng",https://www.topcv.vn/viec-lam/chuyen-vien-mua-sam-opex/1543265.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Kinh Doanh Khối Khách Hàng Lớn,"Pro

Công ty cổ phần Hạ tầng Viễn thông CMC Telecom",Nhân viên,1 năm,Công ty cổ phần Hạ tầng Viễn thông CMC Telecom,"Hồ Chí Minh, Hà Nội",Thoả thuận,"Kỹ năng đàm phán, kỹ năng quản lý thời gian, Kỹ năng xây dựng mối quan hệ, kỹ năng thuyết trình, Kỹ Năng Lập Kế Hoạch",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-khoi-khach-hang-lon/1569844.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
CG/ CVCC Phát Triển Đối Tác,"Pro

Ngân Hàng TMCP An Bình",Nhân viên,Trên 5 năm,Ngân Hàng TMCP An Bình,Hà Nội,Thoả thuận,"Quản Lý Dự Án, Kỹ Năng Giao Tiếp Và Đàm Phán, Xây Dựng Và Duy Trì Mối Quan Hệ, Kỹ Năng Đàm Phán Hợp Đồng, Phân Tích Thị Trường Và Đối Thủ Cạnh Tranh",https://www.topcv.vn/viec-lam/cg-cvcc-phat-trien-doi-tac/1569468.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior PQA (Mảng Sales Và Marketing),,Nhân viên,3 năm,Công ty cổ phần Ichibaone Platform,Hà Nội,Tới 25 triệu,"phân tích yêu cầu, Báo Cáo Lỗi, Hiểu Biết Về Quy Trình Phát Triển Phần Mềm (sdlc)",https://www.topcv.vn/viec-lam/senior-pqa-mang-sales-va-marketing/1533764.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior SI Engineer Kỹ Sư Tích Hợp Hệ Thống Cao Cấp,,Nhân viên,4 năm,AMIGO,Hà Nội,Thoả thuận,"Thiết Kế Hệ Thống, phân tích yêu cầu, Tích hợp hệ thống, Kiến Trúc Hệ Thống, Lập Trình Java Python C++",https://www.topcv.vn/viec-lam/senior-si-engineer-ky-su-tich-hop-he-thong-cao-cap/1569144.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Chuyên Viên Điều Phối - Hệ Thống TMS,,Trưởng nhóm,3 năm,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Hồ Chí Minh,Thoả thuận,"Quản Lý Dự Án, Kỹ năng giải quyết vấn đề, Kỹ Năng Giao Tiếp Và Làm Việc Nhóm, Kỹ Năng Lập Kế Hoạch Và Điều Phối, Kiến Thức Về Hệ Thống Tms (transportation Management System)",https://www.topcv.vn/viec-lam/chuyen-vien-dieu-phoi-he-thong-tms/1569082.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior Fullstack Developer (React And Python),,Nhân viên,4 năm,CÔNG TY TNHH VERISERVE VIỆT NAM,Hà Nội,35 - 47 triệu,N/A,https://www.topcv.vn/viec-lam/senior-fullstack-developer-react-and-python/1397776.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Bridge System Engineer (BrSE),,Quản lý / Giám sát,3 năm,Công Ty TNHH Công  Nghệ K&G,Hồ Chí Minh,Thoả thuận,"Quản Lý Dự Án, Thiết Kế Hệ Thống, Triển Khai Hệ Thống, Kiến Trúc Hệ Thống, Kiểm Thử Hệ Thống",https://www.topcv.vn/viec-lam/bridge-system-engineer-brse/1569385.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
IT Comtor (Japanese),,Nhân viên,4 năm,Công Ty TNHH NTT DATA VDS,Hà Nội,32 - 40 triệu,"Communication Skills (written And Verbal), Japanese Language Proficiency (n2 Or Higher), It Support Experience, Troubleshooting Skills, Technical Documentation Skills",https://www.topcv.vn/viec-lam/it-comtor-japanese/1569350.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Lập Trình Viên Android,,Nhân viên,2 năm,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,Hà Nội,10 - 30 triệu,"Android, Java",https://www.topcv.vn/viec-lam/lap-trinh-vien-android/1457422.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
RPA Developer,,Nhân viên,2 năm,CÔNG TY CỔ PHẦN PHẦN MỀM MIRAI VIỆT NAM,Hà Nội,20 - 40 triệu,"Lập Trình Automation Anywhere, Kiến Thức Về Rpa, Lập Trình Uipath, Lập Trình Blue Prism, Phân Tích Quy Trình Nghiệp Vụ",https://www.topcv.vn/viec-lam/rpa-developer/1567798.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Vận Hành (运营员),,Nhân viên,Không yêu cầu kinh nghiệm,CÔNG TY TNHH VINMV,Hồ Chí Minh,14 - 15 triệu,"Làm việc nhóm, Quản lý thời gian, Khả năng giải quyết vấn đề, Khả Năng Phân Tích Dữ Liệu, Kiến Thức Về Máy Tính",https://www.topcv.vn/viec-lam/nhan-vien-van-hanh/1569206.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Hỗ Trợ Kiểm Soát Tài Chính,,Nhân viên,1 năm,CÔNG TY TNHH LEVINCI,Hồ Chí Minh,12 - 18 triệu,"Giao tiếp tốt, Khả Năng Làm Việc Nhóm, Kiến Thức Về Kế Toán Cơ Bản, Phân Tích Dữ Liệu Tài Chính, Khả Năng Sử Dụng Phần Mềm Kế Toán (ví Dụ: Excel, Sap, Quickbooks)",https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-kiem-soat-tai-chinh/1568185.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
O365 Customer Support Engineer,,N/A,1 năm,Công ty TNHH ITECHWX,Hồ Chí Minh,18 - 24 triệu,N/A,https://www.topcv.vn/brand/tnhhitechwx/tuyen-dung/o365-customer-support-engineer-j1569352.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Kỹ Thuật Cơ Điện,"Pro

Công Ty Cổ Phần Dược Vật Tư Y Tế Hải Dương",Nhân viên,2 năm,Công Ty Cổ Phần Dược Vật Tư Y Tế Hải Dương,Hải Dương,6.5 - 9 triệu,N/A,https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-co-dien/1370864.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Lập Trình Web Fullstack,,Nhân viên,1 năm,Công Ty TNHH phát triển Công nghệ Điện tử Bình Anh,Hà Nội,15 - 25 triệu,N/A,https://www.topcv.vn/viec-lam/lap-trinh-web-fullstack/1295851.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Fresher Business Development/ Sales IT (Tiếng Hàn),,N/A,Không yêu cầu kinh nghiệm,Newwave Solutions JSC,Hà Nội,10 - 15 triệu,N/A,https://www.topcv.vn/brand/newwavesolutions/tuyen-dung/fresher-business-development-sales-it-tieng-han-j1569255.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior Game Developer (Unity),,Trưởng nhóm,5 năm,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ ARCHER STUDIO,Hà Nội,Thoả thuận,"Object Oriented Programming (oop), Version Control (git), Software Design Patterns, Unity Engine (c#), Debugging And Troubleshooting",https://www.topcv.vn/viec-lam/senior-game-developer-unity/1569212.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kỹ Sư Thiết Kế Kết Cấu,,Nhân viên,2 năm,CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ VÀ XÂY DỰNG A.H.G,Nam Định,8 - 12 triệu,"Thiết Kế Kỹ Thuật, Đọc Và Hiểu Bản Vẽ Kỹ Thuật, Hiểu Biết Về Vật Liệu Xây Dựng, Vẽ Kỹ Thuật (autocad, Solidworks, Revit,...), Quản Lý Dự Án Nhỏ",https://www.topcv.vn/viec-lam/ky-su-thiet-ke-ket-cau/1568790.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kỹ Thuật Viên Tiếng Trung,,Nhân viên,1 năm,CÔNG TY TNHH INNOREV VIỆT NAM,"Bắc Ninh, Vĩnh Phúc",Thoả thuận,"Kỹ năng giao tiếp, Làm việc nhóm, Kỹ năng giải quyết vấn đề, Khả Năng Học Hỏi Nhanh, Tiếng Trung (nghe, Nói, Đọc, Viết Thành Thạo)",https://www.topcv.vn/viec-lam/ky-thuat-vien-tieng-trung/1569195.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
"Thực Tập Sinh Viễn Thông - Thiết Kế Hạ Tầng Mạng (Có Lương, HCM)","Pro

Công ty Cổ phần viễn thông FPT",Thực tập sinh,Không yêu cầu kinh nghiệm,Công ty Cổ phần viễn thông FPT,Hồ Chí Minh,7 - 10 triệu,"Kỹ năng giải quyết vấn đề, Khả Năng Học Hỏi Nhanh, Khả Năng Làm Việc Nhóm, Kiến Thức Cơ Bản Về Mạng Máy Tính, Hiểu Biết Về Các Giao Thức Mạng (tcp Ip, ...)",https://www.topcv.vn/viec-lam/thuc-tap-sinh-vien-thong-thiet-ke-ha-tang-mang-co-luong-hcm/1569137.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
IT Comtor (Tiếng Hàn),,Nhân viên,1 năm,GMO-Z.com RUNSYSTEM,Hà Nội,Tới 25 triệu,"Làm việc nhóm, Quản lý thời gian, Kỹ năng giải quyết vấn đề, kỹ năng giao tiếp tốt, Tiếng Hàn (trình Độ Chuyên Nghiệp)",https://www.topcv.vn/viec-lam/it-comtor-tieng-han/1568908.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Sales Support IT Tiếng Nhật N3,,Nhân viên,Dưới 1 năm,Công ty Cổ phần Công nghệ và Dịch vụ HyperSOL,Hà Nội,Tới 10 triệu,N/A,https://www.topcv.vn/viec-lam/sales-support-it-tieng-nhat-n3/804204.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Microsoft AD/Azure (Remote),,Nhân viên,3 năm,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,Hà Nội,40 - 50 triệu,"Troubleshooting, Microsoft Active Directory, Azure Active Directory (azure Ad), Group Policy Management, User And Group Management",https://www.topcv.vn/viec-lam/microsoft-ad-azure-remote/1568954.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Integration Software Manager,,Trưởng/Phó phòng,Trên 5 năm,AMIGO,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/integration-software-manager/1393438.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior Devops Engineer,,Nhân viên,2 năm,AMIGO,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/senior-devops-engineer/1474788.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Sales Dịch Vụ Giải Pháp Kinh Doanh Sàn TMĐT,,Nhân viên,Dưới 1 năm,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,Cần Thơ & 2 nơi khác,10 - 25 triệu,"Kỹ năng giao tiếp, Kỹ năng đàm phán, Telesales, Kỹ năng bán hàng, Sales, Sales online, Kinh Doanh, Sales Executive, Kỹ năng xây dựng mối quan hệ",https://www.topcv.vn/viec-lam/sales-dich-vu-giai-phap-kinh-doanh-san-tmdt/1526661.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Nhân Viên Thu Ngân,,Nhân viên,1 năm,CÔNG TY CỔ PHẦN CẢM ƠN BÁNH MÌ,Hồ Chí Minh,Tới 7 triệu,"Chăm Sóc Khách Hàng, kỹ năng giao tiếp tốt, Khả Năng Tính Toán Nhanh Chóng Và Chính Xác, Khả Năng Sử Dụng Máy Tính Tiền, Quản Lý Tiền Mặt",https://www.topcv.vn/viec-lam/nhan-vien-thu-ngan/1568917.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kỹ Sư Tư Vấn Giải Pháp (Presales),,Nhân viên,2 năm,CÔNG TY TNHH MỘT THÀNH VIÊN GIẢI PHÁP CÔNG NGHỆ HTI,Hà Nội,Thoả thuận,"Kỹ Năng Giao Tiếp Và Thuyết Trình, Phân Tích Yêu Cầu Khách Hàng, Lập Kế Hoạch Và Quản Lý Dự Án, Hiểu Biết Sâu Rộng Về Công Nghệ Thông Tin, Xây Dựng Giải Pháp Công Nghệ",https://www.topcv.vn/viec-lam/ky-su-tu-van-giai-phap-presales/1568946.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kỹ Sư Hệ Thống ( Linux - 3 Năm Kinh Nghiệm),,Nhân viên,3 năm,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG GTEL,Hà Nội,Thoả thuận,"Quản Trị Hệ Thống, An Ninh Mạng, Giải Quyết Sự Cố Hệ Thống, Kiến Trúc Hệ Thống, Cơ Sở Dữ Liệu, Scripting (bash, Python,...), Virtualization (vmware, Kvm,...), Cloud Computing (aws, Azure, Gcp Tùy Thuộc Vào Yêu Cầu Cụ Thể), Database Cơ Bản (mysql, Postgresql...)",https://www.topcv.vn/viec-lam/ky-su-he-thong-linux-3-nam-kinh-nghiem/1541351.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
"Devops Engineer - Đi Làm Ngay, Chế Độ Hấp Dẫn",,Nhân viên,2 năm,AMIGO,Hà Nội,Thoả thuận,"Git, Linux, Docker, Kubernetes, CI/CD",https://www.topcv.vn/viec-lam/devops-engineer-di-lam-ngay-che-do-hap-dan/1541461.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
System Analyst (Onsite Philippin),,Nhân viên,Trên 5 năm,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,Hà Nội,Thoả thuận,"SQL, UML, Quản Lý Dự Án, Thiết Kế Hệ Thống, phân tích hệ thống",https://www.topcv.vn/viec-lam/system-analyst-onsite-philippin/1568816.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Account Manager - Doanh Nghiệp Tổ Chức,,Nhân viên,3 năm,AMIGO,Hà Nội,Thoả thuận,"Kỹ năng xây dựng mối quan hệ, Kỹ Năng Giao Tiếp Và Đàm Phán, Kỹ Năng Bán Hàng Và Thuyết Phục, Kỹ Năng Quản Lý Khách Hàng, Kỹ Năng Lập Kế Hoạch Và Quản Lý Thời Gian",https://www.topcv.vn/viec-lam/account-manager-doanh-nghiep-to-chuc/1568906.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Account Manager - Phụ Trách Kinh Doanh - Bộ Ngành,,Nhân viên,3 năm,AMIGO,Hà Nội,Thoả thuận,N/A,https://www.topcv.vn/viec-lam/account-manager-phu-trach-kinh-doanh-bo-nganh/898133.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Pre-Sales Security - Tư Vấn Giải Pháp Bảo Mật,,Nhân viên,3 năm,AMIGO,Hà Nội,Thoả thuận,"Kỹ năng giao tiếp, Tiếng Anh giao tiếp",https://www.topcv.vn/viec-lam/pre-sales-security-tu-van-giai-phap-bao-mat/1264132.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Pre-Sales System - Chuyên Gia Tư Vấn Giải Pháp,,Nhân viên,3 năm,AMIGO,Hà Nội,Thoả thuận,"Kỹ Năng Đàm Phán Và Thương Lượng, Kỹ Năng Giao Tiếp Và Thuyết Trình Xuất Sắc, Khả Năng Phân Tích Nhu Cầu Khách Hàng, Hiểu Biết Sâu Rộng Về Công Nghệ Thông Tin, Xây Dựng Và Trình Bày Đề Xuất Giải Pháp",https://www.topcv.vn/viec-lam/pre-sales-system-chuyen-gia-tu-van-giai-phap/1568817.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Senior Pre-Sales Network - Tư Vấn Giải Pháp Mạng,,Nhân viên,3 năm,AMIGO,Hà Nội,Thoả thuận,"Kỹ Năng Lập Kế Hoạch Và Quản Lý Dự Án, Kỹ Năng Trình Bày Và Thuyết Trình Chuyên Nghiệp, Kiến Thức Chuyên Sâu Về Mạng Máy Tính (tcp Ip, Routing, Switching, Vlan, Vpn), Kinh Nghiệm Thiết Kế Và Triển Khai Giải Pháp Mạng, Kỹ Năng Giao Tiếp Và Làm Việc Nhóm Xuất Sắc",https://www.topcv.vn/viec-lam/senior-pre-sales-network-tu-van-giai-phap-mang/1568837.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Presales Consultant (H3C Products & Solutions),,Nhân viên,2 năm,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Hà Nội,Thoả thuận,"Kỹ Năng Giao Tiếp Và Đàm Phán, Kỹ Năng Trình Bày Và Thuyết Trình, Hiểu Biết Về Thị Trường Công Nghệ Thông Tin, Kiến Thức Về Sản Phẩm Và Giải Pháp H3c, Kỹ Năng Tư Vấn Giải Pháp Công Nghệ",https://www.topcv.vn/viec-lam/presales-consultant-h3c-products-solutions/1568787.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Kỹ Thuật Dựng Hậu Kì ( Video Editor),,Nhân viên,1 năm,Công ty Cổ phần Giáo dục và Đào tạo Monad Edu Group,Hà Nội,9 - 20 triệu,N/A,https://www.topcv.vn/viec-lam/ky-thuat-dung-hau-ki-video-editor/1390077.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Technical Support Representative,,Nhân viên,1 năm,Payreto Services,Hồ Chí Minh,Thoả thuận,"Analytics, API, Excel Pivot",https://www.topcv.vn/viec-lam/technical-support-representative/1417614.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
IT Comtor Korean (Định Hướng PM),,Nhân viên,3 năm,Công ty CP Phần mềm MOR,Hà Nội,25 - 40 triệu,"Bridge Engineer, Project Manager, Project Management, Business Analyst, Communication, Korean Languague, Team Leader, IT Comtor, Team Leadership",https://www.topcv.vn/viec-lam/it-comtor-korean-dinh-huong-pm/1496011.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
Technical Leader (Fluent English),,Trưởng nhóm,5 năm,Công ty CP Phần mềm MOR,"Hà Nội, Hồ Chí Minh",40 - 60 triệu,".NET, C#, Java, Javascript, Tiếng Anh giao tiếp, Team Leader, - Working with Japanese client, Good at English, Language (Japanese N1/N2 and English), Japanese Language Proficiency (n2 Or Above)",https://www.topcv.vn/viec-lam/technical-leader-fluent-english/1439268.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
QC Manual (Middle/Senior),,Nhân viên,3 năm,CÔNG TY TNHH MTV NTS TECHNOLOGY,Hồ Chí Minh,23 - 30 triệu,N/A,https://www.topcv.vn/viec-lam/qc-manual-middle-senior/1512781.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
CEO Assistant,,Nhân viên,2 năm,BSS Group,Hà Nội,20 - 30 triệu,"Business Development, Corporate Communications, CEO Assistant",https://www.topcv.vn/viec-lam/ceo-assistant/1402636.html?ta_source=JobSearchList_LinkDetail&u_sr_id=0YzsMiAeHtn4yjXH6u82SGWjP2sJfhE9XytIZeai_1735586193,TopCV
